user_id,item_id,Recommended_Games
1122305938,"211820, 8870","['Starbound', 'BioShock Infinite']"
112367263762,323370,['TERA']
113595,"214560, 304930, 274190","['Unturned', 'Broforce', ""Melody's Escape""]"
1136579070,236390,[nan]
11567jj,51100,['Tactical Intervention']
117331,570,[nan]
117arbiter,"224600, 1840, 219740, 49520","[nan, 'Borderlands 2', 'Defiance', ""Garry's Mod""]"
11925219096,12210,[nan]
11XGX,208090,['Loadout']
12066gdc,"440, 570","[nan, 'Team Fortress 2']"
1212343456567878909,730,['Counter-Strike: Global Offensive']
12312312332123,396480,"[nan, 'Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', 'Team Fortress 2']"
123123718417671290,1250,['Killing Floor']
1234148932401,"386880, 250340, 298630, 33460, 246620","['From Dust', 'The Escapists', 'Plague Inc: Evolved']"
12345676543456789098543,242920,['Banished']
12345678901234567890123456567890,"220200, 218620","[nan, 'Star Wars: Battlefront 2 (Classic, 2005)', 'Kerbal Space Program']"
1234567890192837465,"322170, 11020","['Geometry Dash', 'TrackMania Nations Forever']"
12345678910a,730,['Counter-Strike: Global Offensive']
123456789874561232145678,17410,"[""Mirror's Edge™""]"
123456789diamond987654321,227300,['Euro Truck Simulator 2']
1234567io9872345678765432,"15620, 221100, 730, 218620, 278910","['Counter-Strike: Global Offensive', nan, 'DayZ']"
12391939123,"4000, 1840","[""Garry's Mod"", 'Source Filmmaker', 'Half-Life 2', 'Team Fortress 2', 'Terraria']"
12398uf8jg21390,295110,[nan]
123joshua321,34900,"[""Bad Rats: the Rats' Revenge""]"
123repulseMe,"244850, 319630","[nan, 'Life is Strange - Episode 1']"
12536475869trhgsdf,"72850, 214420, 440, 99900, 237310","[nan, 'Team Fortress 2', 'Spiral Knights', ""Garry's Mod""]"
12779,"204360, 236850, 22330","['Castle Crashers®', 'Europa Universalis IV', 'The Elder Scrolls IV: Oblivion® Game of the Year Edition']"
12839201,304930,['Unturned']
129874182,"377160, 265930","['Fallout 4', 'Goat Simulator', 'The Stanley Parable']"
12_gauge_org,359550,"[""Tom Clancy's Rainbow Six® Siege""]"
1300655506nigga,440,['Team Fortress 2']
131467132,224540,['Ace of Spades: Battle Builder']
1321742413,"238960, 51100","[nan, 'Tactical Intervention']"
13305678912,570,[nan]
133742069174,227680,"[nan, 'Robocraft']"
1337666133766613376661337,224260,['No More Room in Hell']
1337_K_REW,"730, 233250","['Counter-Strike: Global Offensive', nan]"
1337lolroflmao,"10180, 7940, 261030, 33900, 234190","['The Walking Dead: Season 2', nan, 'Call of Duty® 4: Modern Warfare®', 'Call of Duty®: Modern Warfare® 2']"
1337putin,"377160, 306760, 620","['Fallout 4', 'Portal 2']"
1343534566,550,['Left 4 Dead 2']
135781,"377160, 311560, 249130, 289650, 72850, 368500, 730","[nan, 'Counter-Strike: Global Offensive', 'Fallout 4', ""Assassin's Creed® Unity""]"
13971397,"313740, 312990","['The Expendabros', nan]"
14372193,"440, 203290",['Team Fortress 2']
1440454,"440, 12200",['Team Fortress 2']
1457184935981,"440, 730, 213210, 200210","['Team Fortress 2', 'Counter-Strike: Global Offensive', 'Realm of the Mad God']"
14725836900,440,['Team Fortress 2']
147532984,218620,[nan]
150010792,319630,['Life is Strange - Episode 1']
154352,265930,['Goat Simulator']
1546328127418,221100,['DayZ']
154930493,"393420, 346110",['ARK: Survival Evolved']
15511551,"241600, 440","['Rogue Legacy', 'Team Fortress 2']"
15832789427,"221380, 236390","[nan, 'Age of Empires II HD']"
15934,"230410, 238460, 7670, 270210","['BioShock™', 'BattleBlock Theater®', 'Warframe', 'BioShock Infinite', 'You Have to Win the Game']"
1626466724893520,"224260, 306020, 550, 403150, 238320, 203160","['No More Room in Hell', 'Team Fortress 2', 'Left 4 Dead 2', 'Outlast', 'Tomb Raider']"
163050995,570,[nan]
16538,"374320, 365590","['DARK SOULS™ III', 'Tom Clancy’s The Division™']"
169420666,301520,['Robocraft']
17101710,"402180, 12200, 620, 313740, 230290","['Portal 2', nan]"
171516,"22370, 304930, 230410, 391540, 233630","['Warframe', 'Unturned', 'Undertale', 'Super Hexagon', 'The Forest']"
17291799,440,['Team Fortress 2']
1800-Ricohut,"91600, 620, 95400","['Sanctum', 'Portal 2', 'ibb & obb']"
1801010101,"240, 295110","[nan, 'Counter-Strike: Source']"
180577,440,['Team Fortress 2']
18228272828,"4000, 10090, 221100, 295110","[""Garry's Mod"", 'DayZ', nan]"
18481,"346900, 339350","['AdVenture Capitalist', 'Choice of Robots']"
1873410337,"730, 231060, 11610",['Counter-Strike: Global Offensive']
1875489156748,218620,[nan]
187625,"32370, 48190","['STAR WARS™ - Knights of the Old Republic™', 'Assassin’s Creed® Brotherhood']"
19-20-5-20-27-5-18,230410,['Warframe']
19372250,230410,['Warframe']
194847383,"113200, 313740, 550","['Left 4 Dead 2', 'Verdun', 'The Binding of Isaac']"
1956aa1,231430,['Company of Heroes 2']
195862,"24240, 730, 264710","['Counter-Strike: Global Offensive', nan, ""Garry's Mod"", 'PAYDAY™ The Heist']"
19te_Polska,394360,"['Hearts of Iron IV', 'Warframe', 'Battlestations Pacific']"
1MLG2U,"13520, 10090, 105600","['Terraria', 'Call of Duty: World at War', ""America's Army: Proving Grounds""]"
1R1M1,304930,['Unturned']
1a1u14,"11020, 41070","[nan, 'TrackMania Nations Forever']"
1epicninja,"730, 620, 107410","['Arma 3', 'Counter-Strike: Global Offensive', 'Shoppe Keep', 'Portal 2', 'Warface']"
1iam1iam1iam,"365450, 205100",['Dishonored']
1jamesn4,"360960, 8870",['BioShock Infinite']
1silentsniper1,41800,"['Mini Metro', 'Airport Simulator 2014', 'Gratuitous Space Battles', nan, 'Counter-Strike: Global Offensive']"
1snap,"242760, 333930, 4000","[""Garry's Mod"", 'The Forest', nan, 'Call of Duty: World at War', 'Dirty Bomb®']"
1stJamestar,203290,"[""America's Army: Proving Grounds"", 'Team Fortress 2']"
1stpionpaul,321300,"['Mount & Blade: Warband - Viking Conquest Reforged Edition', 'RAGE', 'Chivalry: Medieval Warfare', 'Transformice', 'Total War™: ROME II - Emperor Edition']"
200220006,218230,['PlanetSide 2']
20041213,"440, 205100",['Team Fortress 2']
2080308,"4000, 440","['Team Fortress 2', ""Garry's Mod""]"
210396,"1250, 200710, 240, 72850, 24980, 440, 570","['Counter-Strike: Source', 'Team Fortress 2', nan, 'Killing Floor']"
210519992016,233450,['Prison Architect']
211011374,391220,"[nan, ""No Man's Sky"", 'NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution', 'Metro: Last Light Redux', 'Team Fortress 2']"
216712138,72850,[nan]
22502250,570,[nan]
225544,266010,"['LYNE', 'Castle Crashers®', 'Brothers - A Tale of Two Sons', 'Portal']"
225555,730,['Counter-Strike: Global Offensive']
23012003,730,['Counter-Strike: Global Offensive']
231091,220240,['Far Cry 3']
231321455,"105600, 208650","['Terraria', 'Batman™: Arkham Knight']"
23184798,730,['Counter-Strike: Global Offensive']
2323534545,434570,"['Blood and Bacon', 'Defy Gravity Extended', ""Bad Rats: the Rats' Revenge"", 'Zero G Arena', 'Floating Point']"
23434454365463446754546576e45646,"208090, 91310","['Loadout', nan]"
2345254252312312,"264200, 416690, 4000","[""Garry's Mod""]"
2364786499,730,['Counter-Strike: Global Offensive']
23745736,"301520, 252490","['Robocraft', 'Rust']"
2390746539217,105600,['Terraria']
23974656456,300380,"['Kerbal Space Program', 'Road Redemption', 'Controller Companion', 'Minecraft: Story Mode - A Telltale Games Series', 'Stranded Deep']"
23Batman05,"252490, 230410, 63380, 233720, 265210, 215870","['Rust', 'Warface', 'Warframe', 'Worms Reloaded', 'Surgeon Simulator']"
24453,"265930, 218620","[nan, 'Goat Simulator']"
24596,730,['Counter-Strike: Global Offensive']
246823,301520,['Robocraft']
247211,"250400, 730, 33230, 413150","['Stardew Valley', 'Torchlight II', 'Counter-Strike: Global Offensive']"
2479742,244050,"[nan, 'Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', 'Team Fortress 2']"
25050,251570,[nan]
2571,"252370, 221100, 206190, 287980","['DayZ', 'Mini Metro', 'Gunpoint', 'Killing Floor 2']"
25_Years_Since_Freddie,"266840, 620, 237110","['Portal 2', nan]"
2608739,570,[nan]
2647891,17410,"[""Mirror's Edge™""]"
27601MCM,338170,"['Block N Load', 'Ratz Instagib', 'Borderlands 2', 'Hacknet', nan]"
279519365,730,['Counter-Strike: Global Offensive']
28042005,273110,"['Counter-Strike Nexon: Zombies', 'Terraria']"
2828838282,252490,['Rust']
2891723967123,"222880, 241540, 202170, 218620","['Insurgency', nan, 'Team Fortress 2', 'Call of Juarez® Gunslinger', 'State of Decay']"
29017637452801,440,['Team Fortress 2']
29123,"440, 104700, 239140","['Undertale', 'Super MNC', 'Team Fortress 2', ""Garry's Mod"", 'Borderlands 2']"
2Chill,"204360, 261180","['Lethal League', 'Castle Crashers®']"
2Degrees,"19680, 203630","['Team Fortress 2', nan, 'Battlepillars Gold Edition', 'Warlock - Master of the Arcane', 'Bleed']"
2EzRogueDH,"440, 230410, 234670, 72850, 386360","['Team Fortress 2', 'Warframe', 'Amnesia: The Dark Descent', nan]"
2JZEEEEBABY,"202970, 234630",['Call of Duty®: Black Ops II']
2Lethal,"233130, 213670","['Shadow Warrior', 'South Park™: The Stick of Truth™']"
2Ta4,"226700, 34900","[""Bad Rats: the Rats' Revenge"", nan]"
2d4nk4m3,47410,['Stronghold Kingdoms']
2edgy4youboi,"17520, 220200, 4000, 212680","[""Garry's Mod"", 'Synergy', nan, 'Kerbal Space Program', 'Rome: Total War™ - Collection']"
2ez2xl,40,"[nan, 'Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', 'Team Fortress 2']"
2ik4tf,105600,['Terraria']
2lstgun,211420,['DARK SOULS™: Prepare To Die™ Edition']
2nerdssemvida,301750,"['Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', 'Life is Strange - Episode 1', nan]"
2red12,368730,"['Galactic Civilizations III', ""Garry's Mod"", 'Paladins®', 'Unturned', 'No Time To Explain Remastered']"
2sBs,"394690, 620, 221100, 221910, 440, 207610","['Team Fortress 2', 'The Stanley Parable', 'Portal 2', 'DayZ']"
2sd31,440,['Team Fortress 2']
2slippy,"304930, 464780",['Unturned']
2sneaky5u,274980,"['Influent', nan, 'Strife®', 'Fallout 3: Game of the Year Edition', 'Long Live The Queen']"
2spookis,72850,[nan]
2spooky,"219640, 248800, 282900",['Chivalry: Medieval Warfare']
2v1meyoucheekyscrub,730,['Counter-Strike: Global Offensive']
2xDelorean,"212680, 570, 200210","[nan, 'Realm of the Mad God', 'FTL: Faster Than Light']"
30102002,730,['Counter-Strike: Global Offensive']
3021Daniel,730,['Counter-Strike: Global Offensive']
3046123,4000,"[""Garry's Mod""]"
314155156915923,225840,"['Sven Co-op', 'No More Room in Hell', 'Transformice', ""Garry's Mod"", 'Saints Row IV']"
317984739321,"440, 730, 252950","['Team Fortress 2', 'Counter-Strike: Global Offensive', 'Rocket League®']"
3197,"351640, 348620, 206440","['To the Moon', 'Eternal Senia']"
326759263846544,244850,[nan]
32bitmaximus,365300,"['Life is Strange - Episode 1', 'Left 4 Dead 2', 'Transmissions: Element 120', ""Don't Starve Together"", 'Magicka']"
33334scat,220240,['Far Cry 3']
334756875,"105600, 452780, 298630",['Terraria']
3423523425433425,230410,['Warframe']
343221221,24240,['PAYDAY™ The Heist']
345675,"238960, 214420, 9420, 236430","[nan, 'Gear Up']"
34573671264yi,222880,['Insurgency']
350241,570,[nan]
3523436346,730,['Counter-Strike: Global Offensive']
35353534,"240, 39000",['Counter-Strike: Source']
3546873516354,232090,['Killing Floor 2']
35475,315430,"['Polarity', 'Brothers - A Tale of Two Sons', 'Counter-Strike: Global Offensive', 'Tribes: Ascend', 'Trove']"
3548548564856498484894,"105600, 253250, 250500",['Terraria']
3565Jason,"730, 570","['Counter-Strike: Global Offensive', nan]"
360j1mmy,"25000, 252950",['Rocket League®']
369231461278416,99900,['Spiral Knights']
36_T,"244930, 224260, 49520, 220240, 570, 730, 292030","['No More Room in Hell', nan, 'Counter-Strike: Global Offensive', 'Borderlands 2']"
37755753,"248800, 344770, 345350, 323370, 244850, 282900, 237850","[nan, 'Chivalry: Medieval Warfare', 'Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1', 'Dysfunctional Systems: Learning to Manage Chaos', 'TERA']"
381644,287700,['METAL GEAR SOLID V: THE PHANTOM PAIN']
3Ldota,"570, 107100, 221810",[nan]
3X5G3,212800,['Super Crate Box']
3dster,550,['Left 4 Dead 2']
3lAckCAt,42910,['Magicka']
3teGZ_Rorschach,"214950, 208650, 34030, 6000, 327280, 34330","[nan, 'Total War™: ROME II - Emperor Edition', 'Batman™: Arkham Knight']"
3th3,"310790, 353130, 385770, 286100, 250900, 312150, 440","['The Binding of Isaac: Rebirth', 'Team Fortress 2']"
3xU,107410,['Arma 3']
3xotic26,"440, 500, 49520, 550","['Team Fortress 2', 'Borderlands 2', 'Left 4 Dead 2']"
402553929,730,['Counter-Strike: Global Offensive']
4043RROR,"730, 220","['Half-Life 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'The Walking Dead: Season 2']"
4123223232,730,['Counter-Strike: Global Offensive']
416940127,346110,['ARK: Survival Evolved']
4200769711,730,['Counter-Strike: Global Offensive']
420Club,243470,"['Watch_Dogs™', 'Team Fortress 2', 'Risk of Rain']"
420NigelGaming420,"214560, 313690",['Mark of the Ninja']
420_Blaze_It_Fgt,"440, 304930","['Team Fortress 2', 'Unturned']"
420fedora,"4000, 249380, 9480, 252490, 96300","['Rust', ""Garry's Mod"", nan, 'Team Fortress 2', 'Saints Row 2']"
42456,440,['Team Fortress 2']
42654264,730,['Counter-Strike: Global Offensive']
4321louis,312990,"['The Expendabros', nan, 'Unturned', 'Undertale', ""Five Nights at Freddy's 2""]"
434238948,"4000, 304930, 104900, 9930, 49520","['Unturned', 'ORION: Prelude', ""Garry's Mod"", 'Borderlands 2']"
434546464,"107410, 221100, 239140","['Dying Light', 'DayZ', nan, 'Counter-Strike: Global Offensive', 'Grand Theft Auto V']"
43643532,220240,['Far Cry 3']
44196,211820,['Starbound']
44290,440,['Team Fortress 2']
44579,440,['Team Fortress 2']
4545648,440,['Team Fortress 2']
45514551,"440, 304930","['Team Fortress 2', 'Unturned']"
45667992,"282440, 262410, 55230","['Saints Row: The Third', 'World of Guns: Gun Disassembly', 'Quake Live™']"
45685748567857,440,['Team Fortress 2']
45826755958,4000,"[""Garry's Mod""]"
46366536564574576346346546,301520,['Robocraft']
47332585890115903727,"299360, 244850, 218620","[nan, 'Counter-Strike: Global Offensive']"
4801,"730, 252490","['Counter-Strike: Global Offensive', 'Rust']"
48226746,"1250, 214950, 245620, 15390, 238430","['Killing Floor', 'Contagion', 'Total War™: ROME II - Emperor Edition']"
486259317,"332800, 391540, 312990","['The Expendabros', 'Undertale', ""Five Nights at Freddy's 2""]"
4_5C12U13,"313120, 4000, 244450, 264140, 221910","[""Garry's Mod"", 'Stranded Deep', 'Layers of Fear', 'The Stanley Parable', 'Pixel Piracy']"
4hwei,"50650, 432020","[nan, 'Surgeon Simulator', 'Escape Goat', ""What's under your blanket !?"", 'Nyan Cat: Lost In Space']"
4mrtm,"214850, 242760, 227700, 440, 55230","['Team Fortress 2', 'Counter-Strike: Global Offensive', 'The Forest', nan]"
4nti-y0u,"322330, 335300","[""Don't Starve Together""]"
4tiles,242860,['Verdun']
4u5ur0,"391540, 105450, 287980, 255710","['Cities: Skylines', 'Age of Empires® III: Complete Collection', 'Undertale']"
51041,730,['Counter-Strike: Global Offensive']
51564210333,431240,"['Golf With Your Friends', 'Counter-Strike: Global Offensive']"
51centcorn,"257170, 230410, 70620",['Warframe']
51jets,730,['Counter-Strike: Global Offensive']
527788235,"8870, 205100, 220240, 291250, 248570, 6910","['Toribash', 'BioShock Infinite', 'Dishonored', 'Far Cry 3']"
53112195114,4000,"[""Garry's Mod""]"
5343039,362890,"['Black Mesa', 'Just Cause™ 3', 'Left 4 Dead 2', 'Counter-Strike: Global Offensive']"
535346456636,304930,['Unturned']
5400540054005400,"202090, 208140, 218230, 266840, 4570","[nan, 'PlanetSide 2']"
544542132154524145,4000,"[""Garry's Mod""]"
54678907652,"47410, 620","['Stronghold Kingdoms', 'Portal 2']"
548547248072804,220,['Half-Life 2']
54Strat,"107410, 252490","['Rust', 'Arma 3', 'Unturned']"
554076033,346110,['ARK: Survival Evolved']
55411144321649875611,"301520, 232890, 265300",['Robocraft']
55432147,261640,['Borderlands: The Pre-Sequel']
5554Grovesy,"218620, 213670, 236390","[nan, 'South Park™: The Stick of Truth™']"
558092,"24240, 250260, 220, 224260","['Half-Life 2', 'No More Room in Hell', 'PAYDAY™ The Heist']"
5678LetMeCyaBootyShake,391540,['Undertale']
58254410,"240, 730, 4000, 238430","['Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust', 'Contagion', 'Counter-Strike: Source']"
5856565456564,"4000, 730, 32500","['Counter-Strike: Global Offensive', ""Garry's Mod""]"
5975,265930,['Goat Simulator']
5LuG,570,[nan]
5mok3y,"230230, 213670, 414190","['Divinity: Original Sin (Classic)', 'South Park™: The Stick of Truth™']"
5p1d3r5,232430,['Gone Home']
5spooky420me,"17080, 238010",['Tribes: Ascend']
5yearoldrexrex111,400,['Portal']
60324133769,"10680, 204360, 40800, 440","['Castle Crashers®', 'Team Fortress 2', 'No More Room in Hell', 'Super Meat Boy', 'The Way of Life Free Edition']"
616333,"304930, 51100","['Tactical Intervention', 'Unturned']"
618554,257730,"['Infinity Wars: Animated Trading Card Game', 'The Binding of Isaac: Afterbirth', 'Unturned', '8BitMMO', 'DC Universe™ Online']"
62245757454,273350,['Evolve Stage 2']
6294421419,"570, 224260","[nan, 'No More Room in Hell', 'Team Fortress 2']"
6367468774734664754,221640,['Super Hexagon']
63718432421321321312,"730, 333930","['Counter-Strike: Global Offensive', 'Dirty Bomb®']"
63Hayden,"550, 333930, 620, 22380, 346900","['Portal 2', 'Dirty Bomb®', nan, 'AdVenture Capitalist', 'Left 4 Dead 2']"
6435677448,265930,['Goat Simulator']
64512328,"250600, 107410, 346110","['ARK: Survival Evolved', 'Arma 3', 'The Plan', 'Card Hunter']"
64574574574744,"219640, 268750","['Chivalry: Medieval Warfare', 'Magicite']"
66655493948,"24240, 265930, 620, 440","['Team Fortress 2', 'Portal 2', 'Goat Simulator', 'PAYDAY™ The Heist']"
6667779,24860,"[nan, 'Medieval Engineers', 'Sanctum 2', 'Counter-Strike: Global Offensive', 'Counter-Strike: Source']"
666_pl_Satan_pl_666,371570,"[nan, 'Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', 'Team Fortress 2']"
666slayerr666,4000,"[""Garry's Mod""]"
66839427,232430,['Gone Home']
66d,261570,['Ori and the Blind Forest']
67samjosh,250600,['The Plan']
69133709,304930,['Unturned']
692412341234,440,['Team Fortress 2']
6935,"38400, 203810, 200900, 95300, 65800, 38410","['Dungeon Defenders', 'Fallout 2: A Post Nuclear Role Playing Game', 'Fallout: A Post Nuclear Role Playing Game']"
694201337694201337,"220200, 730","['Counter-Strike: Global Offensive', 'Kerbal Space Program', 'Euro Truck Simulator 2']"
696969696969699,"440, 730","['Team Fortress 2', 'Counter-Strike: Global Offensive']"
69madman,31280,['Poker Night at the Inventory']
6dighero,325610,"['Total War: ATTILA', 'Verdun', 'Total War™: ROME II - Emperor Edition', 'Imperial Glory', 'Wargame: Red Dragon']"
6ex6ex6ex,55230,['Saints Row: The Third']
6golf6,99900,['Spiral Knights']
70spots,214420,"['Risk of Rain', 'Gear Up', 'Goat Simulator', 'Supreme Commander: Forged Alliance', 'DARK SOULS™ II']"
711armageddoncarmageddon,"105600, 9480, 113020","['Terraria', 'Saints Row 2']"
7122456,550,['Left 4 Dead 2']
71251241,"4000, 252490, 355180, 319510, 109400, 208090, 218620","[""Garry's Mod"", nan, 'Loadout', 'Codename CURE']"
723943123,"239140, 271590, 221100, 107410, 730, 218620","['Counter-Strike: Global Offensive', 'Arma 3', nan, 'DayZ', 'Grand Theft Auto V']"
737911,"440, 204300","['LEGO® Marvel™ Super Heroes', 'Team Fortress 2', 'Awesomenauts - the 2D moba', 'Borderlands 2', 'Counter-Strike: Global Offensive']"
739567275,91310,[nan]
739749287981,440,['Team Fortress 2']
740449400,730,['Counter-Strike: Global Offensive']
748237482374284792,570,[nan]
74987000,"105600, 219890, 550, 440","['Terraria', 'Team Fortress 2', 'Left 4 Dead 2']"
75791513,99900,['Spiral Knights']
76561197960288186,261030,['The Walking Dead: Season 2']
76561197960324928,379720,['DOOM']
76561197960425229,226980,"['Kung Fury', 'Action! - Gameplay Recording and Streaming', ""Jets'n'Guns Gold"", 'Double Dragon: Neon', nan]"
76561197960467275,"230410, 304930","['Warframe', 'Unturned']"
76561197960565429,730,['Counter-Strike: Global Offensive']
76561197960608571,333930,['Dirty Bomb®']
76561197960788238,"427520, 422970",['Factorio']
76561197960963309,227940,['Heroes & Generals']
76561197961051810,72850,[nan]
76561197961205196,730,['Counter-Strike: Global Offensive']
76561197961464265,261030,['The Walking Dead: Season 2']
76561197961778802,730,['Counter-Strike: Global Offensive']
76561197962025274,245470,"['Democracy 3', 'The Walking Dead: Season 2', 'DLC Quest']"
76561197962071692,"49520, 273350","['Borderlands 2', 'Evolve Stage 2', 'The Plan']"
76561197963085108,570,[nan]
76561197963392788,4920,['Natural Selection 2']
76561197963397231,49520,['Borderlands 2']
76561197963427169,211400,"['Deadlight', 'Tales from the Borderlands']"
76561197963436918,282740,"[nan, 'Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', 'Team Fortress 2']"
76561197963455626,"203160, 298030",['Tomb Raider']
76561197963469414,219740,[nan]
76561197963478502,218620,[nan]
76561197963587066,322500,"['SUPERHOT', 'Hurtworld', 'One Finger Death Punch']"
76561197963638240,235780,"[nan, 'DARK SOULS™ II', 'The Binding of Isaac: Rebirth', 'Only If', 'Contract']"
76561197964317648,"350080, 405820","[nan, 'Wolfenstein: The Old Blood', 'WARMODE', 'Shadow Warrior', 'STAR WARS™ - X-Wing Special Edition']"
76561197964402427,255300,"[nan, 'Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', 'Team Fortress 2']"
76561197964753680,"232790, 333930, 218620, 8870","[nan, 'Dirty Bomb®', 'Unturned', 'BioShock Infinite', 'Forge Quest']"
76561197964876290,13210,"['Crawl', 'Red Faction', 'Loadout', 'Half-Life', 'Unreal Tournament 3 Black']"
76561197965144435,234650,"['Shadowrun Returns', 'Psychonauts', 'Might & Magic X - Legacy', 'Dirty Bomb®']"
76561197965205416,"440, 322170, 252950","['Rocket League®', 'Team Fortress 2', 'Stardew Valley', 'Counter-Strike: Global Offensive', 'Geometry Dash']"
76561197965208032,219680,"['Proteus', 'Magic 2014 — Duels of the Planeswalkers', nan, 'DayZ', 'Team Fortress 2']"
76561197965224231,550,['Left 4 Dead 2']
76561197965557728,"212680, 230050","['FTL: Faster Than Light', 'DLC Quest']"
76561197965640732,"436320, 323470, 346110, 266510","['DRAGON BALL XENOVERSE', 'ARK: Survival Evolved']"
76561197965668941,630,['Alien Swarm']
76561197965916509,251570,[nan]
76561197966227291,440,['Team Fortress 2']
76561197966298550,303210,"[""The Beginner's Guide""]"
76561197966586458,393380,"['Squad', 'HITMAN™', 'ARK: Survival Evolved', 'DayZ', 'Counter-Strike: Global Offensive']"
76561197966587792,2200,"['Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', nan, 'Team Fortress 2']"
76561197966590415,331190,"['Galactic Civilizations III', 'Counter-Strike: Global Offensive', 'Terraria', nan, 'Team Fortress 2']"
76561197966764681,730,['Counter-Strike: Global Offensive']
76561197966956978,369200,"[nan, 'Lichdom: Battlemage', 'Warframe']"
76561197966970006,"214490, 238090, 241540","['State of Decay', 'Alien: Isolation']"
76561197966979423,212680,['FTL: Faster Than Light']
76561197967118917,222900,[nan]
